sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
RELIANCE,₹ 1651037.86 Cr.,₹ 1823886.86 Cr.,676.6 Cr.,38.15,3.43,₹ 10,0.33%,₹ 21714 Cr.,₹ 194563 Cr.,50.49%,72.47%,8.63%,8.21%,,,,,,,
TCS,₹ 1281088.77 Cr.,₹ 1267396.77 Cr.,365.91 Cr.,32.76,13.55,₹ 1,1.23%,₹ 13692 Cr.,₹ 0 Cr.,72.30%,17.93%,50.76%,66.74%,,,,,,,
HDFCBANK,₹ 923696.03 Cr.,,557.82 Cr.,21.93,3.45,₹ 1,0.94%,,,25.60%,,16.67%,14.62%,48.17,₹ 72009.59 Cr.,36.88,18.9,,,
INFY,₹ 656905.52 Cr.,₹ 644635.52 Cr.,414.77 Cr.,29.14,8.23,₹ 5,1.96%,₹ 12270 Cr.,₹ 0 Cr.,15.11%,20.98%,30.37%,40.65%,,,,,,,
ICICIBANK,₹ 602207.21 Cr.,,698.09 Cr.,20.21,3.21,₹ 2,0.58%,,,0%,,14.99%,14.01%,48.7,₹ 47466.09 Cr.,40.52,19.16,,,
HINDUNILVR,₹ 591039.68 Cr.,₹ 587421.68 Cr.,234.96 Cr.,60.7,11.44,₹ 1,1.35%,₹ 3618 Cr.,₹ 0 Cr.,61.90%,11.30%,18.33%,24.61%,,,,,,,
SBIN,₹ 473896.88 Cr.,,892.46 Cr.,11.11,1.59,₹ 1,1.34%,,,57.50%,,13.01%,8.27%,44.52,₹ 120707.59 Cr.,57.91,13.83,,,
HDFC,₹ 492713.65 Cr.,,182.92 Cr.,31.76,3.88,₹ 2,1.11%,,,0%,-0.4,12.17%,7.53%,,,,,₹ 554862.51 Cr.,₹ 47957.43 Cr.,₹ 13742.18 Cr.
BHARTIARTL,₹ 463431.24 Cr.,₹ 566510.84 Cr.,596.59 Cr.,0,5.7,₹ 5,0.39%,₹ 328.5 Cr.,₹ 103408.1 Cr.,55.12%,9.82%,-4.64%,5.60%,,,,,,,
ADANIENT,₹ 196387.99 Cr.,₹ 200124.61 Cr.,114 Cr.,139.43,14.55,₹ 1,0.06%,₹ 485.21 Cr.,₹ 4221.83 Cr.,72.63%,100.80%,15.39%,20.43%,,,,,,,
LICI,₹ 381175.99 Cr.,₹ 343743.85 Cr.,632.5 Cr.,15.04,11.76,₹ 10,0.25%,₹ 37432.14 Cr.,₹ 0 Cr.,96.50%,34.14,48.44%,48.72%,,,,,,,
ITC,₹ 475953.33 Cr.,₹ 472080.67 Cr.,1241.4 Cr.,28.03,7.4,₹ 1,3.44%,₹ 3877.94 Cr.,₹ 5.28 Cr.,0%,23.87%,25.66%,33.04%,,,,,,,
ATGL,₹ 106846.55 Cr.,₹ 107807.7 Cr.,109.98 Cr.,213.11,37.79,₹ 1,0.03%,₹ 34.32 Cr.,₹ 995.47 Cr.,74.80%,79.16%,23.03%,24.95%,,,,,,,
BAJFINANCE,₹ 388485.78 Cr.,,60.54 Cr.,39.97,8.02,₹ 2,0.31%,,,55.91%,18.45,16.43%,10.81%,,,,,₹ 144276.25 Cr.,₹ 27894.74 Cr.,₹ 6350.49 Cr.
KOTAKBANK,₹ 349464.84 Cr.,,198.64 Cr.,34.22,4.4,₹ 5,0.06%,,,25.95%,,12.68%,13.20%,60.68,₹ 16817.91 Cr.,47.99,22.69,,,
ADANIGREEN,₹ 99580.2 Cr.,₹ 117249.2 Cr.,158.4 Cr.,0,16.71,₹ 10,0%,₹ 369 Cr.,₹ 18038 Cr.,60.75%,331.54%,-3.58%,4.72%,,,,,,,
ASIANPAINT,₹ 271798.29 Cr.,₹ 271505.88 Cr.,95.92 Cr.,72.16,18.44,₹ 1,0.68%,₹ 308.57 Cr.,₹ 16.16 Cr.,52.63%,36.03%,24.66%,33.48%,,,,,,,
LT,₹ 312899.35 Cr.,₹ 326699.13 Cr.,140.54 Cr.,40.39,4.58,₹ 2,0.99%,₹ 6498.51 Cr.,₹ 20298.29 Cr.,0%,15.75%,12.25%,14%,,,,,,,
ADANITRANS,₹ 102669.95 Cr.,₹ 113959.88 Cr.,111.55 Cr.,853.8,10,₹ 10,0%,₹ 388.72 Cr.,₹ 11678.65 Cr.,74.19%,-2.04%,-6.15%,5.71%,,,,,,,
AXISBANK,₹ 262975.53 Cr.,,307.61 Cr.,13.54,2.01,₹ 2,0.12%,,,8.19%,,12.03%,9.16%,45,₹ 33132.22 Cr.,48.83,18.54,,,
HCLTECH,₹ 301094.71 Cr.,₹ 296471.71 Cr.,271.37 Cr.,25.92,6.92,₹ 2,3.78%,₹ 4849 Cr.,₹ 226 Cr.,60.72%,13.92%,25.27%,30.90%,,,,,,,
DMART,₹ 229636.13 Cr.,₹ 229351.82 Cr.,64.78 Cr.,91.21,14.38,₹ 10,0%,₹ 284.31 Cr.,₹ 0 Cr.,74.99%,27.60%,12.36%,16.94%,,,,,,,
MARUTI,₹ 266064.56 Cr.,₹ 263410.26 Cr.,30.21 Cr.,36.63,4.57,₹ 5,0.68%,₹ 3036.2 Cr.,₹ 381.9 Cr.,56.37%,25.54%,7.14%,8.86%,,,,,,,
BAJAJFINSV,₹ 225232.07 Cr.,,159.28 Cr.,304.4,43.4,₹ 1,0.01%,,,60.75%,92.7,10.81%,13.79%,,,,,₹ 0 Cr.,₹ 623.83 Cr.,₹ 424.23 Cr.
SUNPHARMA,₹ 236214.53 Cr.,₹ 240548.28 Cr.,239.93 Cr.,165.73,8.91,₹ 1,1.02%,₹ 534.96 Cr.,₹ 4868.71 Cr.,54.48%,10.41%,-0.39%,2.19%,,,,,,,
TITAN,₹ 221973.17 Cr.,₹ 226310.17 Cr.,88.78 Cr.,71.79,19.68,₹ 1,0.30%,₹ 1049 Cr.,₹ 5386 Cr.,52.90%,32.07%,25.76%,23.68%,,,,,,,
